point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,桐庐方言志
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,莎,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,锁,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,琐,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,唢,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,过,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,锅,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,戈,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,果,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,裹,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,餜,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,过,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,科,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,窠,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,棵,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,髁,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,蝌,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,颗,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,课,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,讹,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,卧,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,火,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,伙,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,货,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,和,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,禾,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,祸,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,夥,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,和,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,倭,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,踒,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,窝,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,涡,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,莴,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,涴,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,瘸,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,靴,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,Ø,�,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,巴,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,芭,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,疤,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,笆,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,吧,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,把,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,靶,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,霸,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,欛,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,壩,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,坝,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,爸,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,怕,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,帕,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,爬,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,琶,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,杷,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,钯,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,P,耙,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,麻,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,痲,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,蟆,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,妈,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,马,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,码,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,玛,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,蚂,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,M,骂,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,N,拿,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS,茶,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS,搽,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS,䖳,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,楂,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,渣,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,诈,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,榨,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,炸,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,叉,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,杈,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,差,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,岔,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,差,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,茬,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,查,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,乍,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,沙,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,纱,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,痧,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,砂,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,鲨,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,裟,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,洒,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,TS*,厦,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,家,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,傢,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,加,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,痂,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,嘉,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,枷,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,袈,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,假,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,贾,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,假,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,架,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,驾,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,嫁,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,稼,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,价,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,揢,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,牙,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,芽,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,衙,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,伢,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,蚜,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,雅,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,K,砑,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,虾,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,�,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,嚇,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,霞,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,瑕,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,遐,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,蝦,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,下,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,夏,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,厦,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,下,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,夏,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,暇,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,鸦,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,丫,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,桠,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,哑,,,
TL01,桐庐镇,太湖片-临绍小片,,,麻,Ø,亚,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,补,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,谱,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,哺,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,布,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,佈,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,铺,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,潽,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,普,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,浦,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,铺,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,怖,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,蒲,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,菩,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,脯,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,葡,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,莆,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,部,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,簿,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,篰,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,步,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,捕,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,P,埠,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,模,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,模,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,摹,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,姥,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,暮,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,慕,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,墓,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,募,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,M,睦,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,都,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,都,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,赌,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,堵,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,肚,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,睹,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,妒,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,土,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,吐,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,吐,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,兔,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,徒,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,屠,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,途,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,涂,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,图,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,杜,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,肚,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,度,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,渡,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,T,镀,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,N,奴,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,N,努,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,N,怒,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,卢,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,炉,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,芦,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,鸬,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,颅,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,鲈,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,鲁,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,橹,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,虏,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,卤,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,路,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,赂,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,露,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,L,鹭,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,租,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,祖,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,组,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,做,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,粗,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,醋,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,措,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,错,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,苏,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,酥,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,素,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,诉,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,塑,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,TS,嗉,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,姑,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,孤,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,箍,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,辜,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,菇,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,鸪,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,蛄,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,古,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,估,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,盬,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,牯,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,股,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,鼓,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,蛊,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,故,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,固,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,锢,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,雇,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,顾,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,枯,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,苦,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,库,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,裤,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,吴,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,蜈,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,吾,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,梧,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,五,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,伍,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,午,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,忤,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,误,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,K,悟,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,呼,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,虎,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,浒,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,琥,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,戽,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,胡,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,湖,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,狐,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,壶,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,乎,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,瓠,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,鬍,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,糊,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,蝴,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,瑚,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,户,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,沪,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,互,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,护,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,瓠,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,糊,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,乌,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,污,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,坞,,,
TL01,桐庐镇,太湖片-临绍小片,,,模,Ø,恶,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,褒,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,保,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,堡,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,宝,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,报,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,袍,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,抱,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,暴,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,P,菢,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,M,毛,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,M,冒,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,M,帽,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,M,瑁,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,刀,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,叨,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,祷,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,岛,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,倒,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,捣,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,到,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,倒,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,滔,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,掏,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,讨,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,套,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,桃,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,逃,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,淘,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,陶,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,萄,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,涛,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,道,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,稻,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,盗,,,
TL01,桐庐镇,太湖片-临绍小片,,,豪,T,导,,,
